StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q2_1,Q3,Q4,Q4_1_TEXT,Q5,Q5_5_TEXT,Q6,Q6_4_TEXT,Q7,Q7_8_TEXT,Q8,Q8_5_TEXT,Q9,Q10
2023-11-17 08:12:32,2023-11-17 08:20:35,IP Address,165.189.255.35,100,482,True,2023-11-17 08:20:36,R_2dSHMHJdGVMvWbV,,,,,43.1004,-89.2716,anonymous,EN,5,4,Very effective,"Yes (If yes, please specify)",I think all the decisions we make affect all anglers We could be bias toward boat anglers in some instances such as managing for trophy fisheries where access might be a problem for some,Limited participation/engagement from shoreline anglers,,"Yes (If yes, please share examples)","We have in many cases highlighted shoreline opportunities during outreach especially for opening day.  Such as for the stocked trout fisheries, one of our best examples of shore fishing success.","Targeted online education and outreach initiatives,User-friendly online surveys",,Yes (Please provide an example),The Lake Michigan angler survey by Nick Legler and the 2021 Winnebago spearer surveys targeted all spearers.,"Ensure we note these at every opportunity, annual fishing report etc, opening day outreach, facebook QnAs. ",support the WCC hearings and take input there.
2023-11-17 07:59:29,2023-11-17 08:27:09,IP Address,165.189.255.35,100,1659,True,2023-11-17 08:27:09,R_0DqDml59W0KvX6V,,,,,43.1004,-89.2716,anonymous,EN,4,4,Moderately effective,"Yes (If yes, please specify)",Creel surveys with angler preference questions solicit feedback from shoreline anglers Recent creel surveys on Lake Wisconsin Lower Wisconsin River and Devils Lake all made sure that shoreline anglers were interviewed That feedback goes into making management decisions  Mail surveys of all license buyers should also be randomly including anglers who fish from shore Shoreline anglers may also participate in public meetings or hearings The Yahara Fishing club in Madison produces an informational pamphlet on public and accessible shore fishing locations in the Madison area,"Limited knowledge of shoreline angler perspectives and interests,Lack of knowledge of how to communicate and engage with shoreline anglers,Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers,Other (Please specify)",Publicly accessible shoreline anglers are more likely to represent lower socio economic groups than anglers who can afford boats or private access This can also correlate with minority groups Often times this also means they are less likely to participate in public venues or receive targeted information,Unsure,,"Establish a task group for shoreline anglers and shoreline angling opportunities,Partner with local community groups,Unsure",,Yes (Please provide an example),Creel Surveys with angler preference questions.,Appropriate signage and information displayed in high use publicly accessible shoreline areas.  Use QR codes and prompts to direct anglers to resources on the web.,
2023-11-17 08:30:33,2023-11-17 08:31:43,IP Address,165.189.255.43,100,70,True,2023-11-17 08:31:43,R_3IX0ZnmIbYNPWYf,,,,,43.1004,-89.2716,anonymous,EN,4,4,Moderately effective,No,,Limited participation/engagement from shoreline anglers,,No,,User-friendly online surveys,,No,,,
2023-11-17 08:32:48,2023-11-17 08:35:18,IP Address,165.189.255.46,100,150,True,2023-11-17 08:35:18,R_3LhAUXr4yAyRuQi,,,,,43.1004,-89.2716,anonymous,EN,4,4,Very effective,Unsure,,Lack of organizational structure among shoreline anglers,,No,,"Establish a task group for shoreline anglers and shoreline angling opportunities,Partner with local community groups",,Unsure,,,
2023-11-17 08:36:13,2023-11-17 08:37:53,IP Address,165.189.255.43,100,99,True,2023-11-17 08:37:53,R_29uAD8s5AkPKQLZ,,,,,43.1004,-89.2716,anonymous,EN,5,5,Very effective,Unsure,,"Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers",,No,,"Targeted online education and outreach initiatives,Partner with local community groups",,No,,,
2023-11-17 08:25:30,2023-11-17 08:44:26,IP Address,165.189.255.43,100,1136,True,2023-11-17 08:44:26,R_2AEelVWw8UXsSoH,,,,,43.1004,-89.2716,anonymous,EN,4,4,Moderately effective,"Yes (If yes, please specify)","Public hearings & meetings, Beaver Summits, Brule River stakeholder meetings.",Lack of organizational structure among shoreline anglers,,"Yes (If yes, please share examples)",Online and Creel surveys.,"Targeted online education and outreach initiatives,Host public meetings specifically for shoreline anglers,User-friendly online surveys,Partner with local community groups",,No,,,
2023-11-17 08:48:29,2023-11-17 08:56:50,IP Address,165.189.255.44,100,500,True,2023-11-17 08:56:50,R_V53r6cWMZApBz7r,,,,,43.1004,-89.2716,anonymous,EN,3,3,Slightly effective,"Yes (If yes, please specify)","I would say in general that we dont have much of an effort. Except up here in my area there is alot of trout angling, I would say 90% of trout anglers fish from the shoreline or wade. We spend alot of time communicating with trout angling groups. So from a trout perspective, we have this covered pretty well. But from a warm water standpoint we do not.","Lack of knowledge of how to communicate and engage with shoreline anglers,Lack of organizational structure among shoreline anglers,Other (Please specify)","My answers are in regard to warm water shoreline anglers. I think a major barrier for warm water shoreline angler decisions is the lack of funding in the program, if we had the money to buy more warmwater shoreline property and the staff to maintain trails and piers, etc. then we could set up kiosks or do a better targetted approach to getting warmwater shoreline anglers perspectives.","Yes (If yes, please share examples)","We do a good job of engaging our shoreline trout anglers. We have communications through TU chapters, have public meetings about the management of the property around some of our larger rivers.","User-friendly online surveys,Partner with local community groups",,Yes (Please provide an example),"We do opening weekend trout creel surveys where we drive around and interview anglers and make counts. This has been a good way to gather input from these anglers. We also do remote creel surveys using trail cameras and kiosks at our stocked trout waters, this has allowed anglers to give input on the questionairres they fill out.",,
2023-11-17 09:15:29,2023-11-17 09:21:24,IP Address,165.189.255.46,100,354,True,2023-11-17 09:21:24,R_1I6N1FE9BUKPDcn,,,,,43.1004,-89.2716,anonymous,EN,5,5,Not effective at all,"Yes (If yes, please specify)","DNR FM has attempted to conduct angler creel and angler preference surveys in urban areas and other places outside of the Ceded territory in recent years. However, these efforts have had mixed results and hamstrung by staff vacancy issues and funding shortfalls.","Lack of organizational structure among shoreline anglers,Other (Please specify)","staff vacancies
funding cuts
lack of position authority to create new positions in other areas of needed work","Yes (If yes, please share examples)","in-person angler creel surveys and angler preference surveys ","Host public meetings specifically for shoreline anglers,User-friendly online surveys,Establish a task group for shoreline anglers and shoreline angling opportunities,Partner with local community groups",,No,,"DNR needs to reach out to these shore anglers instead of only listening to the loudest, most well-funded, and well organized angler groups","DNR needs to reach out to this community more intentionally and in different ways than standard communication pathways. These groups are often underserved in other areas of society and DNR doesn't reach these folks enough, or effectively even though every urban area has lots of shore anglers in WI, we don't even have a way to quantify the # of shore anglers across the state to understand the need or gaps."
2023-11-17 09:21:00,2023-11-17 09:24:43,IP Address,165.189.255.46,100,223,True,2023-11-17 09:24:44,R_1g5squ5JOLkBr1r,,,,,43.1004,-89.2716,anonymous,EN,4,4,Moderately effective,Unsure,,"Limited knowledge of shoreline angler perspectives and interests,Lack of organizational structure among shoreline anglers",,Unsure,,"Targeted online education and outreach initiatives,Host public meetings specifically for shoreline anglers,User-friendly online surveys",,Unsure,,Creel Surveys,Focus these outreach efforts on waters where shoreline fishing opportunities are abundant.
2023-11-17 09:21:05,2023-11-17 09:25:10,IP Address,165.189.255.35,100,245,True,2023-11-17 09:25:11,R_2Srv6qwTWt1kA6x,,,,,43.1004,-89.2716,anonymous,EN,4,4,Slightly effective,"Yes (If yes, please specify)","Shoreline anglers are included in creel counts in northern WI. We have been actively trying to increase shoreline opportunities by creating trails and piers. ","Limited knowledge of shoreline angler perspectives and interests,Lack of knowledge of how to communicate and engage with shoreline anglers,Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers,Other (Please specify)","Difficult to determine who is ALWAYS a shoreline angler, SOMETIMES a shoreline angler, or NEVER a shoreline angler. How is wading (trout streams) classified? It's not always a clean definition or type of person. ",Unsure,,Unsure,,No,,"Post meeting information or survey QRC codes at popular shoreline fishing spots (piers). ","Encourage staff to try shoreline fishing (if they don't commonly do it) so they can have the firsthand experience to draw from on where the opportunities and obstacles are for those types of anglers. People who exclusively fish out of boats may benefit from that exercise. "
2023-11-17 09:36:06,2023-11-17 09:42:11,IP Address,165.189.255.60,100,364,True,2023-11-17 09:42:11,R_8cRCg5wVbuOyWNH,,,,,43.1228,-89.3841,anonymous,EN,5,5,Moderately effective,Unsure,,"Lack of knowledge of how to communicate and engage with shoreline anglers,Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers",,"Yes (If yes, please share examples)","Because shore anglers rarely belong to an organized fishing club, the Lake Michigan/Green Bay creel program strives to keep creel clerks informed of upcoming meetings, public comment periods, etc. so that creel clerks can inform the shore anglers they interview.  However, this method varies widely in its effectiveness, depending on the individual creel clerk.","Targeted online education and outreach initiatives,User-friendly online surveys,Establish a task group for shoreline anglers and shoreline angling opportunities,Unsure",,No,,,
2023-11-17 09:43:04,2023-11-17 09:52:32,IP Address,165.189.255.34,100,567,True,2023-11-17 09:52:33,R_9Ft0ADJzEp1EQuZ,,,,,43.1004,-89.2716,anonymous,EN,4,4,Slightly effective,Unsure,,"Lack of knowledge of how to communicate and engage with shoreline anglers,Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers,Other (Please specify)","Staff level, time and program funding (the usuals)",Unsure,,"Targeted online education and outreach initiatives,User-friendly online surveys,Establish a task group for shoreline anglers and shoreline angling opportunities,Partner with local community groups",,Unsure,,,recognize river and streambank anglers as a relevant part of this group
2023-11-17 09:04:09,2023-11-17 10:27:53,IP Address,165.189.255.44,100,5023,True,2023-11-17 10:27:54,R_7PTdO5IqUcCWKA1,,,,,43.1004,-89.2716,anonymous,EN,5,5,Slightly effective,"Yes (If yes, please specify)","Shoreline and tributary opportunities are included in the Lake Michigan Fisheries Plan and these anglers were engaged in the development of the plan; Lake Michigan Fisheries Forum has tributary representatives; Great Lakes creel surveys include surveying shore, pier, and tributary fisheries.  I believe shore angler opportunities are part of the Fisheries Strategic Plan.  The GB and LM fishing report includes shore opportunities and shore fishing opportunities are mapped in online pdfs for Lake Michigan and Green Bay.  The Urban Fishing program/ponds are geared toward shore fishing as are many other unofficial ponds/urban waters that are managed specifically for shore opportunities.  Staff are regularly engaged with communities, US Forest Service, local municipalities, State Parks, and clubs in developing and maintaining shoreline fishing opportunities.  Much of the trout habitat program is designed to improve shore fishing or wade fishing along trout streams.  We have many opportunities for trout and warmwater species on Fisheries owned properties. We have many shoreline fishing opportunities adn management actions to maintain and improve shoreline fishing; however, it has been as struggle to engage these anglers in participating in management decisions and to provide feedback and input into decision making.","Limited knowledge of shoreline angler perspectives and interests,Lack of knowledge of how to communicate and engage with shoreline anglers,Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers,Other (Please specify)",1.Cultural and language barriers--There is a component of shore anglers who do not speak English and are of various specific ethnic groups who traditionally are not engaged with DNR.  2.  A lot of attention for shore anglers is focused on large urban communities while smaller communities and rural areas do not receive as much attention for shoreline fishing opportunities.,"Yes (If yes, please share examples)","Communication through creel interviews.  Signage at fishing locations.  Online fishing reports. 
 Social media post.  Observations by encouraging DNR staff to visit shore fishing locations to observed fishing activity.  ","Targeted online education and outreach initiatives,User-friendly online surveys,Partner with local community groups,Other (Please specify)",Direct outreach through creel programs or directly engaging shore anglers during popular fishing times.  Signage or voluntary surveys at fishing access locations.,Yes (Please provide an example),"Creel surveys, communications & partnerships with communities and NGO's","Better shoreline fishing location mapping. Further shoreline access development (e.g., more fishing piers).  Better use creel to obtain social economic data and angler opinions.","Better meld DEI and environmental justice goals with shoreline opportunity goals.  Many of these goals are complementary but we are not skilled or comfortable in speaking in these terms.  "
2023-11-17 10:29:14,2023-11-17 10:31:10,IP Address,165.189.255.59,100,116,True,2023-11-17 10:31:11,R_25u9Q0LnXGjyaDa,,,,,43.1228,-89.3841,anonymous,EN,3,3,Slightly effective,Unsure,,Lack of organizational structure among shoreline anglers,,Unsure,,"Targeted online education and outreach initiatives,User-friendly online surveys",,Unsure,,,
2023-11-17 12:22:29,2023-11-17 12:32:11,IP Address,165.189.255.43,100,581,True,2023-11-17 12:32:11,R_2scoFW7yi3uKbBP,,,,,43.1004,-89.2716,anonymous,EN,4,4,Slightly effective,No,,"Limited knowledge of shoreline angler perspectives and interests,Lack of knowledge of how to communicate and engage with shoreline anglers",,No,,"Targeted online education and outreach initiatives,Partner with local community groups,Unsure",,No,,"I think we have to go to them and not expect them to come to us. In other words, DNR staff on the landscape seeking out shore angler perspectives. ",
2023-11-17 12:41:35,2023-11-17 12:48:30,IP Address,165.189.255.46,100,414,True,2023-11-17 12:48:31,R_3eFYTidZ5tvZJ2F,,,,,43.1004,-89.2716,anonymous,EN,5,5,Moderately effective,"Yes (If yes, please specify)","Shore angling for walleyes is very popular in tributaries to Green Bay in the spring. The minimum length limit is 15 inches to allow for harvest of one walleye per day by shore anglers. Each year, staff receive multiple requests to raise the minimum length limit during spring spawning walleye runs, but we have always maintained that these runs provide a unique harvest opportunity for shore anglers so we don't intend to raise the minimum length limit for this fishery.  ","Lack of knowledge of how to communicate and engage with shoreline anglers,Lack of organizational structure among shoreline anglers",,No,,"Host public meetings specifically for shoreline anglers,Establish a task group for shoreline anglers and shoreline angling opportunities,Partner with local community groups",,Yes (Please provide an example),"There is a Team USA street fishing team that competes in the street fishing world championships. All of the fishing in these events must be done from shore. This organization does a lot to promote shore fishing opportunities and is an organization that can share perspectives of shore anglers.  ",,
2023-11-17 13:46:22,2023-11-17 13:50:00,IP Address,165.225.216.174,100,218,True,2023-11-17 13:50:01,R_1PUGPC4U3DsP426,,,,,32.7797,-96.8022,anonymous,EN,4,4,Slightly effective,No,,Other (Please specify),"Members of sportsman's clubs/others that are more invested in the sport seem to be more involved. ",No,,Unsure,,No,,,
2023-11-18 05:46:21,2023-11-18 06:21:42,IP Address,165.189.255.44,100,2121,True,2023-11-18 06:21:43,R_2ALPhGZNa1kpaK7,,,,,43.1004,-89.2716,anonymous,EN,5,5,Moderately effective,"Yes (If yes, please specify)","Trout creel surveys and lake creel surveys that have shoreline fishing opportunities.  Those are direct ways to communicate with shoreline anglers.  Some waterbodies have limited shoreline fishing opportunities, if there is a specific meeting regarding that lake all anglers are welcome to join.  If there are efforts just focusing on shoreline fishing opportunities from a statewide level I  know there is some work in central office and work to get more streambank protection easements or fee lands.","Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers,Other (Please specify)","I guess you have to define what policy you're talking about. At meetings, I don't ask those who attend if they shoreline fish or if they fish from a boat (for lake meetings).  Trout meetings, everyone uses SBEs whether to access the water to fish in the water or to fish from shore.  I don't ask who does what.  Public turnout is overall low in my opinion at meetings.  The Master Planning Meeting for the ecoregions I was involved with was low and no angler attended to talk about shoreline fishing.  Not many anglers attended.  Even when we had in-person WCC spring meetings the attendance was dropping.  I think from my perspective when I work locally with cities, towns, villages, lake groups were always looking for opportunities to add ADA fishing piers or docks for more fishing opportunities.  Using SFR, ARDC, etc. for grants.  When we manage SBEs or acquire more SBEs or land we're always thinking about all anglers.","Yes (If yes, please share examples)",Karl always asks the biologists for shoreline fishing opportunities in our areas for the webpage or Facebook posts before the fishing opener.,"Establish a task group for shoreline anglers and shoreline angling opportunities,Partner with local community groups,Other (Please specify)",Creel surveys,Unsure,,"I think the department should identify what policy-making processes (define those) they could do better to specifically engage shoreline anglers.  Then build a plan to engage shoreline angler, etc.",
2023-11-20 06:47:14,2023-11-20 06:49:53,IP Address,165.189.255.61,100,159,True,2023-11-20 06:49:54,R_3KHrdH1kP8kZwu9,,,,,43.1228,-89.3841,anonymous,EN,4,4,Not effective at all,"Yes (If yes, please specify)","Stocking of nearshore strains of rainbow, brown and brook trout
Stakeholder meetings
Club Meetings","Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers",,No,,"Targeted online education and outreach initiatives,Host public meetings specifically for shoreline anglers,Establish a task group for shoreline anglers and shoreline angling opportunities,Partner with local community groups",,No,,,
2023-11-20 06:25:28,2023-11-20 07:10:02,IP Address,165.189.255.44,100,2673,True,2023-11-20 07:10:02,R_30nGFkLRDavQ3BU,,,,,43.1004,-89.2716,anonymous,EN,4,5,Slightly effective,"Yes (If yes, please specify)","Species management plans, angler mail surveys, Wisconsin Conservation Congress spring hearings, creel surveys, outreach events",Other (Please specify),"I am not aware of any barriers, probably the same barriers we face with off shore anglers.","Yes (If yes, please share examples)","I often connect with a variety of anglers during outreach events such as sport shows, state fair conservation congress. This is an informal process, but it provides local feedback from all anglers for management purposes.","Targeted online education and outreach initiatives,Host public meetings specifically for shoreline anglers,User-friendly online surveys,Establish a task group for shoreline anglers and shoreline angling opportunities,Partner with local community groups,Unsure,Other (Please specify)","Public meetings are typically under attended with minimal feedback, however these can be implemented virtually which has possibly improved participation.",Yes (Please provide an example),"We established a ""Stakeholder Engagement Team"" which provides  structure on how to best implement outreach efforts and incorporate feedback into management decisions. The recent Walleye management plan incorporated shore anglers' views.","recover 20+ fisheries positions, we simply do not have enough people to effectively work with all our stakeholders. ","reduce fish stocking, move positions from fish culture to fish management, utilize positions to implement additional outreach efforts. Collaborate with R3 program to obtain angler feedback. "
2023-11-20 07:42:19,2023-11-20 07:47:19,IP Address,165.189.255.43,100,299,True,2023-11-20 07:47:20,R_1pPT74CXSENRCfG,,,,,43.1004,-89.2716,anonymous,EN,4,3,Slightly effective,Unsure,,"Limited knowledge of shoreline angler perspectives and interests,Lack of knowledge of how to communicate and engage with shoreline anglers,Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers",,No,,"Targeted online education and outreach initiatives,Host public meetings specifically for shoreline anglers,User-friendly online surveys,Establish a task group for shoreline anglers and shoreline angling opportunities",,No,,"Better tools for helping the average person identify where shore fishing opportunities exist, especially QUALITY opportunities.  People need an easier way to find out where the good and SAFE shorefishing opportunities are.","We need to do more to increase the number of good, safe shorefishing spots along our waters, with lakes and larger rivers getting much of the focus.  We do great at offering trout fishing opportunities along streams.  Lakes and rivers is where we fall short."
2023-11-20 10:22:58,2023-11-20 10:54:37,IP Address,165.189.255.34,100,1899,True,2023-11-20 10:54:38,R_2uKySiW323r4is8,,,,,43.1004,-89.2716,anonymous,EN,3,3,Moderately effective,"Yes (If yes, please specify)",Shoreline anglers are members of other clubs such as Trout Unlimited and Rod and Gun Clubs,"Lack of knowledge of how to communicate and engage with shoreline anglers,Lack of organizational structure among shoreline anglers",,No,,User-friendly online surveys,,No,,,"In rural WI, shoreline anglers are part of other angling groups and likely make up a small proportion of the angling public. In my management area, I don't see a need to single out this small user group to make policy decisions. In urban areas, where there are more shoreline anglers it is logical to reach out to them prior to making policy changes.  "
2023-11-21 06:58:39,2023-11-21 07:03:39,IP Address,165.189.255.59,100,300,True,2023-11-21 07:03:40,R_2zcGpucGjOunQBb,,,,,43.1228,-89.3841,anonymous,EN,4,4,Moderately effective,"Yes (If yes, please specify)","Stakeholder meetings include shoreline angler groups, we also attend angler group meetings in the winter which often include shore anglers","Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers,Other (Please specify)","There may be a high number of shoreline anglers but in general, they are less vocal than boat anglers.",No,,Unsure,,Yes (Please provide an example),"Our stakeholder meetings attract some shoreline anglers. Since we have been posting those meetings online and asking for emailed comments we have seen more input from shoreline anglers. ",,
2023-11-21 10:53:31,2023-11-21 10:55:36,IP Address,165.189.255.44,100,125,True,2023-11-21 10:55:37,R_DMjf0suTrMdsPXX,,,,,43.1004,-89.2716,anonymous,EN,5,2,Slightly effective,No,,"Lack of knowledge of how to communicate and engage with shoreline anglers,Limited participation/engagement from shoreline anglers,Lack of organizational structure among shoreline anglers",,No,,"Targeted online education and outreach initiatives,User-friendly online surveys,Partner with local community groups",,No,,,
